Year,State,Election,Election_Type,Row_Type,Incumbent,party,candidate,votes,percentage,title,url,website,publisher
1978,Massachusetts,Democratic primary,Primary,Candidate,False,Democratic Party (United States),Kathleen Sullivan Alioto,"161,036",19.28%,,,,
1978,Massachusetts,Democratic primary,Primary,Candidate,False,Democratic Party (United States),Howard Phillips,"65,397",7.83%,,,,
1978,Massachusetts,Democratic primary,Primary,Candidate,False,Democratic Party (United States),Elaine Noble,"52,464",6.28%,,,,
1978,Massachusetts,Democratic primary,Primary,Write-in,False,,,379,0.05%,,,,
1978,Massachusetts,Democratic primary,Primary,Total,False,,,"835,151",100.00%,,,,
1978,Michigan,1978 Republican U.S. Senate primary,Primary,Winning,True,Republican Party (US),Robert P. Griffin,"322,530",78.30%,,,,
1978,Michigan,1978 Republican U.S. Senate primary,Primary,Candidate,False,Republican Party (US),L. Brooks Patterson,"89,383",21.70%,,,,
1978,Michigan,1978 Republican U.S. Senate primary,Primary,Write-in,False,,,22,0.01%,,,,
1978,Michigan,1978 Republican U.S. Senate primary,Primary,Total,False,,,"411,935",100.00%,,,,
1978,Michigan,1978 Democratic U.S. Senate primary,Primary,Winning,False,Democratic Party (US),Carl Levin,"226,584",38.90%,,,,
1978,Michigan,1978 Democratic U.S. Senate primary,Primary,Candidate,False,Democratic Party (US),Phil Power,"115,117",19.77%,,,,
1978,Michigan,1978 Democratic U.S. Senate primary,Primary,Candidate,False,Democratic Party (US),Richard Vander Veen,"89,257",15.33%,,,,
1978,Michigan,1978 Democratic U.S. Senate primary,Primary,Candidate,False,Democratic Party (US),Anthony Derezinski,"53,696",9.22%,,,,
1978,Michigan,1978 Democratic U.S. Senate primary,Primary,Candidate,False,Democratic Party (US),John Otterbacher,"50,860",8.73%,,,,
1978,Michigan,1978 Democratic U.S. Senate primary,Primary,Candidate,False,Democratic Party (US),Paul Rosenbaum,"46,892",8.05%,,,,
1978,Michigan,1978 Democratic U.S. Senate primary,Primary,Write-in,False,,,23,0.00%,,,,
1978,Michigan,1978 Democratic U.S. Senate primary,Primary,Total,False,,,"582,429",100.00%,,,,
1978,Minnesota,Democratic primary election results,Primary,Winning,True,Minnesota Democratic–Farmer–Labor Party,Wendell Anderson,"286,209",56.9%,,,,
1978,Minnesota,Democratic primary election results,Primary,Candidate,False,Minnesota Democratic–Farmer–Labor Party,John S. Connolly,"159,974",31.8%,,,,
