Year,State,Election,Election_Type,Row_Type,Incumbent,candidate,party,votes,percentage,name
2020,Texas,2020 United States Senate election in Texas,General,Total,False,,,"11,144,660",100.0%,
2020,Virginia,2020 United States Senate election in Virginia,General,Winning,True,Mark Warner,Democratic Party (United States),"2,466,500",55.99%,
2020,Virginia,2020 United States Senate election in Virginia,General,Candidate,False,Daniel Gade,Republican Party (United States),"1,934,199",43.91%,
2020,Virginia,2020 United States Senate election in Virginia,General,Write-in,False,,,"4,388",0.10%,
2020,Virginia,2020 United States Senate election in Virginia,General,Total,False,,,"4,405,087",100.00%,
2020,West Virginia,"United States Senate election in West Virginia, 2020",General,Winning,True,Shelley Moore Capito,Republican Party (United States),"547,454",70.28%,
2020,West Virginia,"United States Senate election in West Virginia, 2020",General,Candidate,False,Paula Jean Swearengin,Democratic Party (United States),"210,309",27.00%,
2020,West Virginia,"United States Senate election in West Virginia, 2020",General,Candidate,False,David Moran,Libertarian Party (United States),"21,155",2.72%,
2020,West Virginia,"United States Senate election in West Virginia, 2020",General,Total,False,,,"778,918",100.00%,
2020,Wyoming,"United States Senate election in Wyoming, 2020",General,Winning,False,Cynthia Lummis,Republican Party (United States),"198,100",72.85%,
2020,Wyoming,"United States Senate election in Wyoming, 2020",General,Candidate,False,Merav Ben-David,Democratic Party (United States),"72,766",26.76%,
2020,Wyoming,"United States Senate election in Wyoming, 2020",General,Write-in,False,,,"1,071",0.39%,
2020,Wyoming,"United States Senate election in Wyoming, 2020",General,Total,False,,,"271,937",100.00%,
