year,state,state_code,county,subdivision_type,candidate,party,votes,percentage,total_votes,winning_party
2000,Alabama,AL,Morgan,County,George W. Bush,Republican,25774,60.39,42681,Republican
2000,Alabama,AL,Morgan,County,Al Gore,Democratic,16060,37.63,42681,Republican
2000,Alabama,AL,Morgan,County,Other,Other,847,1.98,42681,Republican
2000,Alabama,AL,Perry,County,George W. Bush,Republican,1732,29.93,5787,Democratic
2000,Alabama,AL,Perry,County,Al Gore,Democratic,4020,69.47,5787,Democratic
2000,Alabama,AL,Perry,County,Other,Other,35,0.6,5787,Democratic
2000,Alabama,AL,Pickens,County,George W. Bush,Republican,4306,50.42,8540,Republican
2000,Alabama,AL,Pickens,County,Al Gore,Democratic,4143,48.51,8540,Republican
2000,Alabama,AL,Pickens,County,Other,Other,91,1.07,8540,Republican
2000,Alabama,AL,Pike,County,George W. Bush,Republican,6058,57.45,10544,Republican
2000,Alabama,AL,Pike,County,Al Gore,Democratic,4357,41.32,10544,Republican
2000,Alabama,AL,Pike,County,Other,Other,129,1.22,10544,Republican
2000,Alabama,AL,Randolph,County,George W. Bush,Republican,4666,58.92,7919,Republican
2000,Alabama,AL,Randolph,County,Al Gore,Democratic,3094,39.07,7919,Republican
2000,Alabama,AL,Randolph,County,Other,Other,159,2.01,7919,Republican
2000,Alabama,AL,Russell,County,George W. Bush,Republican,6198,41.95,14775,Democratic
2000,Alabama,AL,Russell,County,Al Gore,Democratic,8396,56.83,14775,Democratic
2000,Alabama,AL,Russell,County,Other,Other,181,1.23,14775,Democratic
2000,Alabama,AL,Shelby,County,George W. Bush,Republican,47651,76.7,62128,Republican
2000,Alabama,AL,Shelby,County,Al Gore,Democratic,13183,21.22,62128,Republican
2000,Alabama,AL,Shelby,County,Other,Other,1294,2.08,62128,Republican
2000,Alabama,AL,St. Clair,County,George W. Bush,Republican,17117,71.05,24090,Republican
2000,Alabama,AL,St. Clair,County,Al Gore,Democratic,6485,26.92,24090,Republican
2000,Alabama,AL,St. Clair,County,Other,Other,488,2.03,24090,Republican
2000,Alabama,AL,Sumter,County,George W. Bush,Republican,1629,26.76,6088,Democratic
2000,Alabama,AL,Sumter,County,Al Gore,Democratic,4415,72.52,6088,Democratic
2000,Alabama,AL,Sumter,County,Other,Other,44,0.72,6088,Democratic
2000,Alabama,AL,Talladega,County,George W. Bush,Republican,13807,54.25,25451,Republican
2000,Alabama,AL,Talladega,County,Al Gore,Democratic,11264,44.26,25451,Republican
